X32,Y32,Z32,Vx,Vy,Vz
-1.00,-0.94,0.16,-0.14,-0.17,1.75
-1.00,-0.94,0.23,-0.20,-0.24,1.75
-1.00,-0.94,0.29,-0.26,-0.31,1.75
-1.00,-0.94,0.35,-0.33,-0.40,1.75
-1.00,-0.94,0.42,-0.41,-0.49,1.75
-1.00,-0.94,0.48,-0.50,-0.60,1.75
-1.00,-0.94,0.55,-0.60,-0.71,1.75
-1.00,-0.94,0.61,-0.72,-0.84,1.75
-1.00,-0.94,0.68,-0.85,-0.99,1.75
-1.00,-0.94,0.74,-0.99,-1.15,1.75
-1.00,-0.94,0.81,-1.15,-1.33,1.75
-1.00,-0.94,0.87,-1.33,-1.53,1.75
-1.00,-0.94,0.94,-1.53,-1.75,1.75
-1.00,-0.94,1.00,-1.75,-2.00,1.75
-1.00,-0.87,-1.00,1.53,2.00,1.53
-1.00,-0.87,-0.94,1.33,1.75,1.53
-1.00,-0.87,-0.87,1.15,1.53,1.53
-1.00,-0.87,-0.81,0.99,1.33,1.53
-1.00,-0.87,-0.74,0.85,1.15,1.53
-1.00,-0.87,-0.68,0.72,0.99,1.53
-1.00,-0.87,-0.61,0.61,0.84,1.53
-1.00,-0.87,-0.55,0.51,0.71,1.53
-1.00,-0.87,-0.48,0.42,0.60,1.53
-1.00,-0.87,-0.42,0.34,0.49,1.53
-1.00,-0.87,-0.35,0.27,0.40,1.53
-1.00,-0.87,-0.29,0.21,0.31,1.53
-1.00,-0.87,-0.23,0.16,0.24,1.53
-1.00,-0.87,-0.16,0.11,0.17,1.53
-1.00,-0.87,-0.10,0.06,0.10,1.53
-1.00,-0.87,-0.03,0.02,0.03,1.53
-1.00,-0.87,0.03,-0.02,-0.03,1.53
-1.00,-0.87,0.10,-0.06,-0.10,1.53
-1.00,-0.87,0.16,-0.11,-0.17,1.53
-1.00,-0.87,0.23,-0.16,-0.24,1.53
-1.00,-0.87,0.29,-0.21,-0.31,1.53
-1.00,-0.87,0.35,-0.27,-0.40,1.53
-1.00,-0.87,0.42,-0.34,-0.49,1.53
-1.00,-0.87,0.48,-0.42,-0.60,1.53
-1.00,-0.87,0.55,-0.51,-0.71,1.53
-1.00,-0.87,0.61,-0.61,-0.84,1.53
-1.00,-0.87,0.68,-0.72,-0.99,1.53
-1.00,-0.87,0.74,-0.85,-1.15,1.53
-1.00,-0.87,0.81,-0.99,-1.33,1.53
-1.00,-0.87,0.87,-1.15,-1.53,1.53
-1.00,-0.87,0.94,-1.33,-1.75,1.53
-1.00,-0.87,1.00,-1.53,-2.00,1.53
-1.00,-0.81,-1.00,1.33,2.00,1.33
-1.00,-0.81,-0.94,1.15,1.75,1.33
-1.00,-0.81,-0.87,0.99,1.53,1.33
-1.00,-0.81,-0.81,0.85,1.33,1.33
-1.00,-0.81,-0.74,0.72,1.15,1.33
-1.00,-0.81,-0.68,0.61,0.99,1.33
-1.00,-0.81,-0.61,0.51,0.84,1.33
-1.00,-0.81,-0.55,0.42,0.71,1.33
-1.00,-0.81,-0.48,0.35,0.60,1.33
-1.00,-0.81,-0.42,0.28,0.49,1.33
-1.00,-0.81,-0.35,0.22,0.40,1.33
-1.00,-0.81,-0.29,0.17,0.31,1.33
-1.00,-0.81,-0.23,0.13,0.24,1.33
-1.00,-0.81,-0.16,0.09,0.17,1.33
-1.00,-0.81,-0.10,0.05,0.10,1.33
-1.00,-0.81,-0.03,0.02,0.03,1.33
-1.00,-0.81,0.03,-0.02,-0.03,1.33
-1.00,-0.81,0.10,-0.05,-0.10,1.33
-1.00,-0.81,0.16,-0.09,-0.17,1.33
-1.00,-0.81,0.23,-0.13,-0.24,1.33
-1.00,-0.81,0.29,-0.17,-0.31,1.33
-1.00,-0.81,0.35,-0.22,-0.40,1.33
-1.00,-0.81,0.42,-0.28,-0.49,1.33
-1.00,-0.81,0.48,-0.35,-0.60,1.33
-1.00,-0.81,0.55,-0.42,-0.71,1.33
-1.00,-0.81,0.61,-0.51,-0.84,1.33
-1.00,-0.81,0.68,-0.61,-0.99,1.33
-1.00,-0.81,0.74,-0.72,-1.15,1.33
-1.00,-0.81,0.81,-0.85,-1.33,1.33
-1.00,-0.81,0.87,-0.99,-1.53,1.33
-1.00,-0.81,0.94,-1.15,-1.75,1.33
-1.00,-0.81,1.00,-1.33,-2.00,1.33
-1.00,-0.74,-1.00,1.15,2.00,1.15
-1.00,-0.74,-0.94,0.99,1.75,1.15
-1.00,-0.74,-0.87,0.85,1.53,1.15
-1.00,-0.74,-0.81,0.72,1.33,1.15
-1.00,-0.74,-0.74,0.61,1.15,1.15
-1.00,-0.74,-0.68,0.51,0.99,1.15
-1.00,-0.74,-0.61,0.42,0.84,1.15
-1.00,-0.74,-0.55,0.35,0.71,1.15
-1.00,-0.74,-0.48,0.28,0.60,1.15
-1.00,-0.74,-0.42,0.23,0.49,1.15
-1.00,-0.74,-0.35,0.18,0.40,1.15
-1.00,-0.74,-0.29,0.14,0.31,1.15
-1.00,-0.74,-0.23,0.10,0.24,1.15
-1.00,-0.74,-0.16,0.07,0.17,1.15
-1.00,-0.74,-0.10,0.04,0.10,1.15
-1.00,-0.74,-0.03,0.01,0.03,1.15
-1.00,-0.74,0.03,-0.01,-0.03,1.15
-1.00,-0.74,0.10,-0.04,-0.10,1.15
-1.00,-0.74,0.16,-0.07,-0.17,1.15
-1.00,-0.74,0.23,-0.10,-0.24,1.15
-1.00,-0.74,0.29,-0.14,-0.31,1.15
-1.00,-0.74,0.35,-0.18,-0.40,1.15
-1.00,-0.74,0.42,-0.23,-0.49,1.15
-1.00,-0.74,0.48,-0.28,-0.60,1.15
-1.00,-0.74,0.55,-0.35,-0.71,1.15
-1.00,-0.74,0.61,-0.42,-0.84,1.15
-1.00,-0.74,0.68,-0.51,-0.99,1.15
-1.00,-0.74,0.74,-0.61,-1.15,1.15
-1.00,-0.74,0.81,-0.72,-1.33,1.15
-1.00,-0.74,0.87,-0.85,-1.53,1.15
-1.00,-0.74,0.94,-0.99,-1.75,1.15
-1.00,-0.74,1.00,-1.15,-2.00,1.15
-1.00,-0.68,-1.00,0.99,2.00,0.99
-1.00,-0.68,-0.94,0.85,1.75,0.99
-1.00,-0.68,-0.87,0.72,1.53,0.99
-1.00,-0.68,-0.81,0.61,1.33,0.99
-1.00,-0.68,-0.74,0.51,1.15,0.99
-1.00,-0.68,-0.68,0.42,0.99,0.99
-1.00,-0.68,-0.61,0.35,0.84,0.99
-1.00,-0.68,-0.55,0.28,0.71,0.99
-1.00,-0.68,-0.48,0.23,0.60,0.99
-1.00,-0.68,-0.42,0.18,0.49,0.99
-1.00,-0.68,-0.35,0.14,0.40,0.99
-1.00,-0.68,-0.29,0.11,0.31,0.99
-1.00,-0.68,-0.23,0.08,0.24,0.99
-1.00,-0.68,-0.16,0.05,0.17,0.99
-1.00,-0.68,-0.10,0.03,0.10,0.99
-1.00,-0.68,-0.03,0.01,0.03,0.99
-1.00,-0.68,0.03,-0.01,-0.03,0.99
-1.00,-0.68,0.10,-0.03,-0.10,0.99
-1.00,-0.68,0.16,-0.05,-0.17,0.99
-1.00,-0.68,0.23,-0.08,-0.24,0.99
-1.00,-0.68,0.29,-0.11,-0.31,0.99
-1.00,-0.68,0.35,-0.14,-0.40,0.99
-1.00,-0.68,0.42,-0.18,-0.49,0.99
-1.00,-0.68,0.48,-0.23,-0.60,0.99
-1.00,-0.68,0.55,-0.28,-0.71,0.99
-1.00,-0.68,0.61,-0.35,-0.84,0.99
-1.00,-0.68,0.68,-0.42,-0.99,0.99
-1.00,-0.68,0.74,-0.51,-1.15,0.99
-1.00,-0.68,0.81,-0.61,-1.33,0.99
-1.00,-0.68,0.87,-0.72,-1.53,0.99
-1.00,-0.68,0.94,-0.85,-1.75,0.99
-1.00,-0.68,1.00,-0.99,-2.00,0.99
-1.00,-0.61,-1.00,0.84,2.00,0.84
-1.00,-0.61,-0.94,0.72,1.75,0.84
-1.00,-0.61,-0.87,0.61,1.53,0.84
-1.00,-0.61,-0.81,0.51,1.33,0.84
-1.00,-0.61,-0.74,0.42,1.15,0.84
-1.00,-0.61,-0.68,0.35,0.99,0.84
-1.00,-0.61,-0.61,0.28,0.84,0.84
-1.00,-0.61,-0.55,0.23,0.71,0.84
-1.00,-0.61,-0.48,0.18,0.60,0.84
-1.00,-0.61,-0.42,0.14,0.49,0.84
-1.00,-0.61,-0.35,0.11,0.40,0.84
-1.00,-0.61,-0.29,0.08,0.31,0.84
-1.00,-0.61,-0.23,0.06,0.24,0.84
-1.00,-0.61,-0.16,0.04,0.17,0.84
-1.00,-0.61,-0.10,0.02,0.10,0.84
-1.00,-0.61,-0.03,0.01,0.03,0.84
-1.00,-0.61,0.03,-0.01,-0.03,0.84
-1.00,-0.61,0.10,-0.02,-0.10,0.84
-1.00,-0.61,0.16,-0.04,-0.17,0.84
-1.00,-0.61,0.23,-0.06,-0.24,0.84
-1.00,-0.61,0.29,-0.08,-0.31,0.84
-1.00,-0.61,0.35,-0.11,-0.40,0.84
-1.00,-0.61,0.42,-0.14,-0.49,0.84
-1.00,-0.61,0.48,-0.18,-0.60,0.84
-1.00,-0.61,0.55,-0.23,-0.71,0.84
-1.00,-0.61,0.61,-0.28,-0.84,0.84
-1.00,-0.61,0.68,-0.35,-0.99,0.84
-1.00,-0.61,0.74,-0.42,-1.15,0.84
-1.00,-0.61,0.81,-0.51,-1.33,0.84
-1.00,-0.61,0.87,-0.61,-1.53,0.84
-1.00,-0.61,0.94,-0.72,-1.75,0.84
-1.00,-0.61,1.00,-0.84,-2.00,0.84
-1.00,-0.55,-1.00,0.71,2.00,0.71
-1.00,-0.55,-0.94,0.60,1.75,0.71
-1.00,-0.55,-0.87,0.51,1.53,0.71
-1.00,-0.55,-0.81,0.42,1.33,0.71
-1.00,-0.55,-0.74,0.35,1.15,0.71
-1.00,-0.55,-0.68,0.28,0.99,0.71
-1.00,-0.55,-0.61,0.23,0.84,0.71
-1.00,-0.55,-0.55,0.18,0.71,0.71
-1.00,-0.55,-0.48,0.14,0.60,0.71
-1.00,-0.55,-0.42,0.11,0.49,0.71
-1.00,-0.55,-0.35,0.08,0.40,0.71
-1.00,-0.55,-0.29,0.06,0.31,0.71
-1.00,-0.55,-0.23,0.04,0.24,0.71
-1.00,-0.55,-0.16,0.03,0.17,0.71
-1.00,-0.55,-0.10,0.02,0.10,0.71
-1.00,-0.55,-0.03,0.01,0.03,0.71
-1.00,-0.55,0.03,-0.01,-0.03,0.71
-1.00,-0.55,0.10,-0.02,-0.10,0.71
-1.00,-0.55,0.16,-0.03,-0.17,0.71
-1.00,-0.55,0.23,-0.04,-0.24,0.71
-1.00,-0.55,0.29,-0.06,-0.31,0.71
-1.00,-0.55,0.35,-0.08,-0.40,0.71
-1.00,-0.55,0.42,-0.11,-0.49,0.71
-1.00,-0.55,0.48,-0.14,-0.60,0.71
-1.00,-0.55,0.55,-0.18,-0.71,0.71
-1.00,-0.55,0.61,-0.23,-0.84,0.71
-1.00,-0.55,0.68,-0.28,-0.99,0.71
-1.00,-0.55,0.74,-0.35,-1.15,0.71
-1.00,-0.55,0.81,-0.42,-1.33,0.71
-1.00,-0.55,0.87,-0.51,-1.53,0.71
-1.00,-0.55,0.94,-0.60,-1.75,0.71
-1.00,-0.55,1.00,-0.71,-2.00,0.71
-1.00,-0.48,-1.00,0.60,2.00,0.60
-1.00,-0.48,-0.94,0.50,1.75,0.60
-1.00,-0.48,-0.87,0.42,1.53,0.60
-1.00,-0.48,-0.81,0.35,1.33,0.60
-1.00,-0.48,-0.74,0.28,1.15,0.60
-1.00,-0.48,-0.68,0.23,0.99,0.60
-1.00,-0.48,-0.61,0.18,0.84,0.60
-1.00,-0.48,-0.55,0.14,0.71,0.60
-1.00,-0.48,-0.48,0.11,0.60,0.60
-1.00,-0.48,-0.42,0.08,0.49,0.60
-1.00,-0.48,-0.35,0.06,0.40,0.60
-1.00,-0.48,-0.29,0.04,0.31,0.60
-1.00,-0.48,-0.23,0.03,0.24,0.60
-1.00,-0.48,-0.16,0.02,0.17,0.60
-1.00,-0.48,-0.10,0.01,0.10,0.60
-1.00,-0.48,-0.03,0.00,0.03,0.60
-1.00,-0.48,0.03,-0.00,-0.03,0.60
-1.00,-0.48,0.10,-0.01,-0.10,0.60
-1.00,-0.48,0.16,-0.02,-0.17,0.60
-1.00,-0.48,0.23,-0.03,-0.24,0.60
-1.00,-0.48,0.29,-0.04,-0.31,0.60
-1.00,-0.48,0.35,-0.06,-0.40,0.60
-1.00,-0.48,0.42,-0.08,-0.49,0.60
-1.00,-0.48,0.48,-0.11,-0.60,0.60
-1.00,-0.48,0.55,-0.14,-0.71,0.60
-1.00,-0.48,0.61,-0.18,-0.84,0.60
-1.00,-0.48,0.68,-0.23,-0.99,0.60
-1.00,-0.48,0.74,-0.28,-1.15,0.60
-1.00,-0.48,0.81,-0.35,-1.33,0.60
-1.00,-0.48,0.87,-0.42,-1.53,0.60
-1.00,-0.48,0.94,-0.50,-1.75,0.60
-1.00,-0.48,1.00,-0.60,-2.00,0.60
-1.00,-0.42,-1.00,0.49,2.00,0.49
-1.00,-0.42,-0.94,0.41,1.75,0.49
-1.00,-0.42,-0.87,0.34,1.53,0.49
-1.00,-0.42,-0.81,0.28,1.33,0.49
-1.00,-0.42,-0.74,0.23,1.15,0.49
-1.00,-0.42,-0.68,0.18,0.99,0.49
-1.00,-0.42,-0.61,0.14,0.84,0.49
-1.00,-0.42,-0.55,0.11,0.71,0.49
-1.00,-0.42,-0.48,0.08,0.60,0.49
-1.00,-0.42,-0.42,0.06,0.49,0.49
-1.00,-0.42,-0.35,0.04,0.40,0.49
-1.00,-0.42,-0.29,0.03,0.31,0.49
-1.00,-0.42,-0.23,0.02,0.24,0.49
-1.00,-0.42,-0.16,0.01,0.17,0.49
-1.00,-0.42,-0.10,0.01,0.10,0.49
-1.00,-0.42,-0.03,0.00,0.03,0.49
-1.00,-0.42,0.03,-0.00,-0.03,0.49
-1.00,-0.42,0.10,-0.01,-0.10,0.49
-1.00,-0.42,0.16,-0.01,-0.17,0.49
-1.00,-0.42,0.23,-0.02,-0.24,0.49
-1.00,-0.42,0.29,-0.03,-0.31,0.49
-1.00,-0.42,0.35,-0.04,-0.40,0.49
-1.00,-0.42,0.42,-0.06,-0.49,0.49
-1.00,-0.42,0.48,-0.08,-0.60,0.49
-1.00,-0.42,0.55,-0.11,-0.71,0.49
-1.00,-0.42,0.61,-0.14,-0.84,0.49
-1.00,-0.42,0.68,-0.18,-0.99,0.49
-1.00,-0.42,0.74,-0.23,-1.15,0.49
-1.00,-0.42,0.81,-0.28,-1.33,0.49
-1.00,-0.42,0.87,-0.34,-1.53,0.49
-1.00,-0.42,0.94,-0.41,-1.75,0.49
-1.00,-0.42,1.00,-0.49,-2.00,0.49
-1.00,-0.35,-1.00,0.40,2.00,0.40
-1.00,-0.35,-0.94,0.33,1.75,0.40
-1.00,-0.35,-0.87,0.27,1.53,0.40
-1.00,-0.35,-0.81,0.22,1.33,0.40
-1.00,-0.35,-0.74,0.18,1.15,0.40
-1.00,-0.35,-0.68,0.14,0.99,0.40
-1.00,-0.35,-0.61,0.11,0.84,0.40
-1.00,-0.35,-0.55,0.08,0.71,0.40
-1.00,-0.35,-0.48,0.06,0.60,0.40
-1.00,-0.35,-0.42,0.04,0.49,0.40
-1.00,-0.35,-0.35,0.03,0.40,0.40
-1.00,-0.35,-0.29,0.02,0.31,0.40
-1.00,-0.35,-0.23,0.01,0.24,0.40
-1.00,-0.35,-0.16,0.01,0.17,0.40
-1.00,-0.35,-0.10,0.00,0.10,0.40
-1.00,-0.35,-0.03,0.00,0.03,0.40
-1.00,-0.35,0.03,-0.00,-0.03,0.40
-1.00,-0.35,0.10,-0.00,-0.10,0.40
-1.00,-0.35,0.16,-0.01,-0.17,0.40
-1.00,-0.35,0.23,-0.01,-0.24,0.40
-1.00,-0.35,0.29,-0.02,-0.31,0.40
-1.00,-0.35,0.35,-0.03,-0.40,0.40
-1.00,-0.35,0.42,-0.04,-0.49,0.40
-1.00,-0.35,0.48,-0.06,-0.60,0.40
-1.00,-0.35,0.55,-0.08,-0.71,0.40
-1.00,-0.35,0.61,-0.11,-0.84,0.40
-1.00,-0.35,0.68,-0.14,-0.99,0.40
-1.00,-0.35,0.74,-0.18,-1.15,0.40
-1.00,-0.35,0.81,-0.22,-1.33,0.40
-1.00,-0.35,0.87,-0.27,-1.53,0.40
-1.00,-0.35,0.94,-0.33,-1.75,0.40
-1.00,-0.35,1.00,-0.40,-2.00,0.40
-1.00,-0.29,-1.00,0.31,2.00,0.31
-1.00,-0.29,-0.94,0.26,1.75,0.31
-1.00,-0.29,-0.87,0.21,1.53,0.31
-1.00,-0.29,-0.81,0.17,1.33,0.31
-1.00,-0.29,-0.74,0.14,1.15,0.31
-1.00,-0.29,-0.68,0.11,0.99,0.31
-1.00,-0.29,-0.61,0.08,0.84,0.31
-1.00,-0.29,-0.55,0.06,0.71,0.31
-1.00,-0.29,-0.48,0.04,0.60,0.31
-1.00,-0.29,-0.42,0.03,0.49,0.31
-1.00,-0.29,-0.35,0.02,0.40,0.31
-1.00,-0.29,-0.29,0.01,0.31,0.31
-1.00,-0.29,-0.23,0.01,0.24,0.31
-1.00,-0.29,-0.16,0.01,0.17,0.31
-1.00,-0.29,-0.10,0.00,0.10,0.31
-1.00,-0.29,-0.03,0.00,0.03,0.31
-1.00,-0.29,0.03,-0.00,-0.03,0.31
-1.00,-0.29,0.10,-0.00,-0.10,0.31
-1.00,-0.29,0.16,-0.01,-0.17,0.31
-1.00,-0.29,0.23,-0.01,-0.24,0.31
-1.00,-0.29,0.29,-0.01,-0.31,0.31
-1.00,-0.29,0.35,-0.02,-0.40,0.31
-1.00,-0.29,0.42,-0.03,-0.49,0.31
-1.00,-0.29,0.48,-0.04,-0.60,0.31
-1.00,-0.29,0.55,-0.06,-0.71,0.31
-1.00,-0.29,0.61,-0.08,-0.84,0.31
-1.00,-0.29,0.68,-0.11,-0.99,0.31
-1.00,-0.29,0.74,-0.14,-1.15,0.31
-1.00,-0.29,0.81,-0.17,-1.33,0.31
-1.00,-0.29,0.87,-0.21,-1.53,0.31
-1.00,-0.29,0.94,-0.26,-1.75,0.31
-1.00,-0.29,1.00,-0.31,-2.00,0.31
-1.00,-0.23,-1.00,0.24,2.00,0.24
-1.00,-0.23,-0.94,0.20,1.75,0.24
-1.00,-0.23,-0.87,0.16,1.53,0.24
-1.00,-0.23,-0.81,0.13,1.33,0.24
-1.00,-0.23,-0.74,0.10,1.15,0.24
-1.00,-0.23,-0.68,0.08,0.99,0.24
-1.00,-0.23,-0.61,0.06,0.84,0.24
-1.00,-0.23,-0.55,0.04,0.71,0.24
-1.00,-0.23,-0.48,0.03,0.60,0.24
-1.00,-0.23,-0.42,0.02,0.49,0.24
-1.00,-0.23,-0.35,0.01,0.40,0.24
-1.00,-0.23,-0.29,0.01,0.31,0.24
-1.00,-0.23,-0.23,0.01,0.24,0.24
-1.00,-0.23,-0.16,0.00,0.17,0.24
-1.00,-0.23,-0.10,0.00,0.10,0.24
-1.00,-0.23,-0.03,0.00,0.03,0.24
-1.00,-0.23,0.03,-0.00,-0.03,0.24
-1.00,-0.23,0.10,-0.00,-0.10,0.24
-1.00,-0.23,0.16,-0.00,-0.17,0.24
-1.00,-0.23,0.23,-0.01,-0.24,0.24
-1.00,-0.23,0.29,-0.01,-0.31,0.24
-1.00,-0.23,0.35,-0.01,-0.40,0.24
-1.00,-0.23,0.42,-0.02,-0.49,0.24
-1.00,-0.23,0.48,-0.03,-0.60,0.24
-1.00,-0.23,0.55,-0.04,-0.71,0.24
-1.00,-0.23,0.61,-0.06,-0.84,0.24
-1.00,-0.23,0.68,-0.08,-0.99,0.24
-1.00,-0.23,0.74,-0.10,-1.15,0.24
-1.00,-0.23,0.81,-0.13,-1.33,0.24
-1.00,-0.23,0.87,-0.16,-1.53,0.24
-1.00,-0.23,0.94,-0.20,-1.75,0.24
-1.00,-0.23,1.00,-0.24,-2.00,0.24
-1.00,-0.16,-1.00,0.17,2.00,0.17
-1.00,-0.16,-0.94,0.14,1.75,0.17
-1.00,-0.16,-0.87,0.11,1.53,0.17
-1.00,-0.16,-0.81,0.09,1.33,0.17
-1.00,-0.16,-0.74,0.07,1.15,0.17
-1.00,-0.16,-0.68,0.05,0.99,0.17
-1.00,-0.16,-0.61,0.04,0.84,0.17
-1.00,-0.16,-0.55,0.03,0.71,0.17
-1.00,-0.16,-0.48,0.02,0.60,0.17
-1.00,-0.16,-0.42,0.01,0.49,0.17
-1.00,-0.16,-0.35,0.01,0.40,0.17
-1.00,-0.16,-0.29,0.01,0.31,0.17
-1.00,-0.16,-0.23,0.00,0.24,0.17
-1.00,-0.16,-0.16,0.00,0.17,0.17
-1.00,-0.16,-0.10,0.00,0.10,0.17
-1.00,-0.16,-0.03,0.00,0.03,0.17
-1.00,-0.16,0.03,-0.00,-0.03,0.17
-1.00,-0.16,0.10,-0.00,-0.10,0.17
-1.00,-0.16,0.16,-0.00,-0.17,0.17
-1.00,-0.16,0.23,-0.00,-0.24,0.17
-1.00,-0.16,0.29,-0.01,-0.31,0.17
-1.00,-0.16,0.35,-0.01,-0.40,0.17
-1.00,-0.16,0.42,-0.01,-0.49,0.17
-1.00,-0.16,0.48,-0.02,-0.60,0.17
-1.00,-0.16,0.55,-0.03,-0.71,0.17
-1.00,-0.16,0.61,-0.04,-0.84,0.17
-1.00,-0.16,0.68,-0.05,-0.99,0.17
-1.00,-0.16,0.74,-0.07,-1.15,0.17
-1.00,-0.16,0.81,-0.09,-1.33,0.17
-1.00,-0.16,0.87,-0.11,-1.53,0.17
-1.00,-0.16,0.94,-0.14,-1.75,0.17
-1.00,-0.16,1.00,-0.17,-2.00,0.17
-1.00,-0.10,-1.00,0.10,2.00,0.10
-1.00,-0.10,-0.94,0.08,1.75,0.10
-1.00,-0.10,-0.87,0.06,1.53,0.10
-1.00,-0.10,-0.81,0.05,1.33,0.10
-1.00,-0.10,-0.74,0.04,1.15,0.10
-1.00,-0.10,-0.68,0.03,0.99,0.10
-1.00,-0.10,-0.61,0.02,0.84,0.10
-1.00,-0.10,-0.55,0.02,0.71,0.10
-1.00,-0.10,-0.48,0.01,0.60,0.10
-1.00,-0.10,-0.42,0.01,0.49,0.10
-1.00,-0.10,-0.35,0.00,0.40,0.10
-1.00,-0.10,-0.29,0.00,0.31,0.10
-1.00,-0.10,-0.23,0.00,0.24,0.10
-1.00,-0.10,-0.16,0.00,0.17,0.10
-1.00,-0.10,-0.10,0.00,0.10,0.10
-1.00,-0.10,-0.03,0.00,0.03,0.10
-1.00,-0.10,0.03,-0.00,-0.03,0.10
-1.00,-0.10,0.10,-0.00,-0.10,0.10
-1.00,-0.10,0.16,-0.00,-0.17,0.10
-1.00,-0.10,0.23,-0.00,-0.24,0.10
-1.00,-0.10,0.29,-0.00,-0.31,0.10
-1.00,-0.10,0.35,-0.00,-0.40,0.10
-1.00,-0.10,0.42,-0.01,-0.49,0.10
-1.00,-0.10,0.48,-0.01,-0.60,0.10
-1.00,-0.10,0.55,-0.02,-0.71,0.10
-1.00,-0.10,0.61,-0.02,-0.84,0.10
-1.00,-0.10,0.68,-0.03,-0.99,0.10
-1.00,-0.10,0.74,-0.04,-1.15,0.10
-1.00,-0.10,0.81,-0.05,-1.33,0.10
-1.00,-0.10,0.87,-0.06,-1.53,0.10
-1.00,-0.10,0.94,-0.08,-1.75,0.10
-1.00,-0.10,1.00,-0.10,-2.00,0.10
-1.00,-0.03,-1.00,0.03,2.00,0.03
-1.00,-0.03,-0.94,0.03,1.75,0.03
-1.00,-0.03,-0.87,0.02,1.53,0.03
-1.00,-0.03,-0.81,0.02,1.33,0.03
-1.00,-0.03,-0.74,0.01,1.15,0.03
-1.00,-0.03,-0.68,0.01,0.99,0.03
-1.00,-0.03,-0.61,0.01,0.84,0.03
-1.00,-0.03,-0.55,0.01,0.71,0.03
-1.00,-0.03,-0.48,0.00,0.60,0.03
-1.00,-0.03,-0.42,0.00,0.49,0.03
-1.00,-0.03,-0.35,0.00,0.40,0.03
-1.00,-0.03,-0.29,0.00,0.31,0.03
-1.00,-0.03,-0.23,0.00,0.24,0.03
-1.00,-0.03,-0.16,0.00,0.17,0.03
-1.00,-0.03,-0.10,0.00,0.10,0.03
-1.00,-0.03,-0.03,0.00,0.03,0.03
-1.00,-0.03,0.03,-0.00,-0.03,0.03
-1.00,-0.03,0.10,-0.00,-0.10,0.03
-1.00,-0.03,0.16,-0.00,-0.17,0.03
-1.00,-0.03,0.23,-0.00,-0.24,0.03
-1.00,-0.03,0.29,-0.00,-0.31,0.03
-1.00,-0.03,0.35,-0.00,-0.40,0.03
-1.00,-0.03,0.42,-0.00,-0.49,0.03
-1.00,-0.03,0.48,-0.00,-0.60,0.03
-1.00,-0.03,0.55,-0.01,-0.71,0.03
-1.00,-0.03,0.61,-0.01,-0.84,0.03
-1.00,-0.03,0.68,-0.01,-0.99,0.03
