X32,Y32,Z32,S
-0.29,-0.68,-1.00,0.00
-0.23,-0.68,-1.00,0.00
-0.16,-0.68,-1.00,0.00
-0.10,-0.68,-1.00,0.00
-0.03,-0.68,-1.00,0.00
0.03,-0.68,-1.00,0.00
0.10,-0.68,-1.00,0.00
0.16,-0.68,-1.00,0.00
0.23,-0.68,-1.00,0.00
0.29,-0.68,-1.00,0.00
0.35,-0.68,-1.00,0.01
0.42,-0.68,-1.00,0.01
0.48,-0.68,-1.00,0.02
0.55,-0.68,-1.00,0.02
0.61,-0.68,-1.00,0.03
0.68,-0.68,-1.00,0.04
0.74,-0.68,-1.00,0.04
0.81,-0.68,-1.00,0.05
0.87,-0.68,-1.00,0.06
0.94,-0.68,-1.00,0.06
1.00,-0.68,-1.00,0.06
-1.00,-0.61,-1.00,0.01
-0.94,-0.61,-1.00,0.01
-0.87,-0.61,-1.00,0.01
-0.81,-0.61,-1.00,0.01
-0.74,-0.61,-1.00,0.01
-0.68,-0.61,-1.00,0.01
-0.61,-0.61,-1.00,0.01
-0.55,-0.61,-1.00,0.00
-0.48,-0.61,-1.00,0.00
-0.42,-0.61,-1.00,0.00
-0.35,-0.61,-1.00,0.00
-0.29,-0.61,-1.00,0.00
-0.23,-0.61,-1.00,0.00
-0.16,-0.61,-1.00,0.00
-0.10,-0.61,-1.00,0.00
-0.03,-0.61,-1.00,0.00
0.03,-0.61,-1.00,0.00
0.10,-0.61,-1.00,0.00
0.16,-0.61,-1.00,0.00
0.23,-0.61,-1.00,0.00
0.29,-0.61,-1.00,0.01
0.35,-0.61,-1.00,0.01
0.42,-0.61,-1.00,0.02
0.48,-0.61,-1.00,0.02
0.55,-0.61,-1.00,0.03
0.61,-0.61,-1.00,0.04
0.68,-0.61,-1.00,0.06
0.74,-0.61,-1.00,0.07
0.81,-0.61,-1.00,0.08
0.87,-0.61,-1.00,0.09
0.94,-0.61,-1.00,0.09
1.00,-0.61,-1.00,0.09
-1.00,-0.55,-1.00,0.02
-0.94,-0.55,-1.00,0.02
-0.87,-0.55,-1.00,0.02
-0.81,-0.55,-1.00,0.02
-0.74,-0.55,-1.00,0.02
-0.68,-0.55,-1.00,0.01
-0.61,-0.55,-1.00,0.01
-0.55,-0.55,-1.00,0.01
-0.48,-0.55,-1.00,0.01
-0.42,-0.55,-1.00,0.00
-0.35,-0.55,-1.00,0.00
-0.29,-0.55,-1.00,0.00
-0.23,-0.55,-1.00,0.00
-0.16,-0.55,-1.00,0.00
-0.10,-0.55,-1.00,0.00
-0.03,-0.55,-1.00,0.00
0.03,-0.55,-1.00,0.00
0.10,-0.55,-1.00,0.00
0.16,-0.55,-1.00,0.00
0.23,-0.55,-1.00,0.01
0.29,-0.55,-1.00,0.01
0.35,-0.55,-1.00,0.02
0.42,-0.55,-1.00,0.02
0.48,-0.55,-1.00,0.04
0.55,-0.55,-1.00,0.05
0.61,-0.55,-1.00,0.06
0.68,-0.55,-1.00,0.08
0.74,-0.55,-1.00,0.10
0.81,-0.55,-1.00,0.11
0.87,-0.55,-1.00,0.12
0.94,-0.55,-1.00,0.13
1.00,-0.55,-1.00,0.13
-1.00,-0.48,-1.00,0.04
-0.94,-0.48,-1.00,0.04
-0.87,-0.48,-1.00,0.03
-0.81,-0.48,-1.00,0.03
-0.74,-0.48,-1.00,0.03
-0.68,-0.48,-1.00,0.02
-0.61,-0.48,-1.00,0.02
-0.55,-0.48,-1.00,0.01
-0.48,-0.48,-1.00,0.01
-0.42,-0.48,-1.00,0.01
-0.35,-0.48,-1.00,0.00
-0.29,-0.48,-1.00,0.00
-0.23,-0.48,-1.00,0.00
-0.16,-0.48,-1.00,0.00
-0.10,-0.48,-1.00,0.00
-0.03,-0.48,-1.00,0.00
0.03,-0.48,-1.00,0.00
0.10,-0.48,-1.00,0.00
0.16,-0.48,-1.00,0.01
0.23,-0.48,-1.00,0.01
0.29,-0.48,-1.00,0.02
0.35,-0.48,-1.00,0.02
0.42,-0.48,-1.00,0.03
0.48,-0.48,-1.00,0.05
0.55,-0.48,-1.00,0.07
0.61,-0.48,-1.00,0.09
0.68,-0.48,-1.00,0.11
0.74,-0.48,-1.00,0.13
0.81,-0.48,-1.00,0.16
0.87,-0.48,-1.00,0.17
0.94,-0.48,-1.00,0.18
1.00,-0.48,-1.00,0.19
-1.00,-0.42,-1.00,0.06
-0.94,-0.42,-1.00,0.06
-0.87,-0.42,-1.00,0.06
-0.81,-0.42,-1.00,0.05
-0.74,-0.42,-1.00,0.04
-0.68,-0.42,-1.00,0.04
-0.61,-0.42,-1.00,0.03
-0.55,-0.42,-1.00,0.02
-0.48,-0.42,-1.00,0.02
-0.42,-0.42,-1.00,0.01
-0.35,-0.42,-1.00,0.01
-0.29,-0.42,-1.00,0.00
-0.23,-0.42,-1.00,0.00
-0.16,-0.42,-1.00,0.00
-0.10,-0.42,-1.00,0.00
-0.03,-0.42,-1.00,0.00
0.03,-0.42,-1.00,0.00
0.10,-0.42,-1.00,0.00
0.16,-0.42,-1.00,0.01
0.23,-0.42,-1.00,0.01
0.29,-0.42,-1.00,0.02
0.35,-0.42,-1.00,0.03
0.42,-0.42,-1.00,0.05
0.48,-0.42,-1.00,0.07
0.55,-0.42,-1.00,0.09
0.61,-0.42,-1.00,0.12
0.68,-0.42,-1.00,0.15
0.74,-0.42,-1.00,0.18
0.81,-0.42,-1.00,0.21
0.87,-0.42,-1.00,0.23
0.94,-0.42,-1.00,0.25
1.00,-0.42,-1.00,0.25
-1.00,-0.35,-1.00,0.09
-0.94,-0.35,-1.00,0.09
-0.87,-0.35,-1.00,0.09
-0.81,-0.35,-1.00,0.08
-0.74,-0.35,-1.00,0.07
-0.68,-0.35,-1.00,0.06
-0.61,-0.35,-1.00,0.04
-0.55,-0.35,-1.00,0.03
-0.48,-0.35,-1.00,0.03
-0.42,-0.35,-1.00,0.02
-0.35,-0.35,-1.00,0.01
-0.29,-0.35,-1.00,0.01
-0.23,-0.35,-1.00,0.00
-0.16,-0.35,-1.00,0.00
-0.10,-0.35,-1.00,0.00
-0.03,-0.35,-1.00,0.00
0.03,-0.35,-1.00,0.00
0.10,-0.35,-1.00,0.01
0.16,-0.35,-1.00,0.01
0.23,-0.35,-1.00,0.02
0.29,-0.35,-1.00,0.03
0.35,-0.35,-1.00,0.04
0.42,-0.35,-1.00,0.06
0.48,-0.35,-1.00,0.09
0.55,-0.35,-1.00,0.12
0.61,-0.35,-1.00,0.15
0.68,-0.35,-1.00,0.19
0.74,-0.35,-1.00,0.23
0.81,-0.35,-1.00,0.27
0.87,-0.35,-1.00,0.30
0.94,-0.35,-1.00,0.32
1.00,-0.35,-1.00,0.32
-1.00,-0.29,-1.00,0.14
-0.94,-0.29,-1.00,0.14
-0.87,-0.29,-1.00,0.13
-0.81,-0.29,-1.00,0.12
-0.74,-0.29,-1.00,0.10
-0.68,-0.29,-1.00,0.08
-0.61,-0.29,-1.00,0.07
-0.55,-0.29,-1.00,0.05
-0.48,-0.29,-1.00,0.04
-0.42,-0.29,-1.00,0.03
-0.35,-0.29,-1.00,0.02
-0.29,-0.29,-1.00,0.01
-0.23,-0.29,-1.00,0.01
-0.16,-0.29,-1.00,0.00
-0.10,-0.29,-1.00,0.00
-0.03,-0.29,-1.00,0.00
0.03,-0.29,-1.00,0.00
0.10,-0.29,-1.00,0.01
0.16,-0.29,-1.00,0.01
0.23,-0.29,-1.00,0.02
0.29,-0.29,-1.00,0.03
0.35,-0.29,-1.00,0.05
0.42,-0.29,-1.00,0.07
0.48,-0.29,-1.00,0.11
0.55,-0.29,-1.00,0.14
0.61,-0.29,-1.00,0.19
0.68,-0.29,-1.00,0.24
0.74,-0.29,-1.00,0.29
0.81,-0.29,-1.00,0.33
0.87,-0.29,-1.00,0.37
0.94,-0.29,-1.00,0.39
1.00,-0.29,-1.00,0.40
-1.00,-0.23,-1.00,0.20
-0.94,-0.23,-1.00,0.20
-0.87,-0.23,-1.00,0.19
-0.81,-0.23,-1.00,0.17
-0.74,-0.23,-1.00,0.15
-0.68,-0.23,-1.00,0.12
-0.61,-0.23,-1.00,0.10
-0.55,-0.23,-1.00,0.07
-0.48,-0.23,-1.00,0.05
-0.42,-0.23,-1.00,0.04
-0.35,-0.23,-1.00,0.03
-0.29,-0.23,-1.00,0.02
-0.23,-0.23,-1.00,0.01
-0.16,-0.23,-1.00,0.01
-0.10,-0.23,-1.00,0.01
-0.03,-0.23,-1.00,0.00
0.03,-0.23,-1.00,0.01
0.10,-0.23,-1.00,0.01
0.16,-0.23,-1.00,0.01
0.23,-0.23,-1.00,0.02
0.29,-0.23,-1.00,0.04
0.35,-0.23,-1.00,0.06
0.42,-0.23,-1.00,0.09
0.48,-0.23,-1.00,0.12
0.55,-0.23,-1.00,0.17
0.61,-0.23,-1.00,0.22
0.68,-0.23,-1.00,0.28
0.74,-0.23,-1.00,0.34
0.81,-0.23,-1.00,0.39
0.87,-0.23,-1.00,0.43
0.94,-0.23,-1.00,0.46
1.00,-0.23,-1.00,0.47
-1.00,-0.16,-1.00,0.28
-0.94,-0.16,-1.00,0.27
-0.87,-0.16,-1.00,0.26
-0.81,-0.16,-1.00,0.23
-0.74,-0.16,-1.00,0.20
-0.68,-0.16,-1.00,0.17
-0.61,-0.16,-1.00,0.13
-0.55,-0.16,-1.00,0.10
-0.48,-0.16,-1.00,0.07
-0.42,-0.16,-1.00,0.05
-0.35,-0.16,-1.00,0.04
-0.29,-0.16,-1.00,0.02
-0.23,-0.16,-1.00,0.01
-0.16,-0.16,-1.00,0.01
-0.10,-0.16,-1.00,0.01
-0.03,-0.16,-1.00,0.01
0.03,-0.16,-1.00,0.01
0.10,-0.16,-1.00,0.01
0.16,-0.16,-1.00,0.02
0.23,-0.16,-1.00,0.03
0.29,-0.16,-1.00,0.04
0.35,-0.16,-1.00,0.07
0.42,-0.16,-1.00,0.10
0.48,-0.16,-1.00,0.14
0.55,-0.16,-1.00,0.19
0.61,-0.16,-1.00,0.25
0.68,-0.16,-1.00,0.32
0.74,-0.16,-1.00,0.38
0.81,-0.16,-1.00,0.44
0.87,-0.16,-1.00,0.49
0.94,-0.16,-1.00,0.52
1.00,-0.16,-1.00,0.53
-1.00,-0.10,-1.00,0.37
-0.94,-0.10,-1.00,0.36
-0.87,-0.10,-1.00,0.34
-0.81,-0.10,-1.00,0.31
-0.74,-0.10,-1.00,0.26
-0.68,-0.10,-1.00,0.22
-0.61,-0.10,-1.00,0.17
-0.55,-0.10,-1.00,0.13
-0.48,-0.10,-1.00,0.10
-0.42,-0.10,-1.00,0.07
-0.35,-0.10,-1.00,0.05
-0.29,-0.10,-1.00,0.03
-0.23,-0.10,-1.00,0.02
-0.16,-0.10,-1.00,0.01
-0.10,-0.10,-1.00,0.01
-0.03,-0.10,-1.00,0.01
0.03,-0.10,-1.00,0.01
0.10,-0.10,-1.00,0.01
0.16,-0.10,-1.00,0.02
0.23,-0.10,-1.00,0.03
0.29,-0.10,-1.00,0.05
0.35,-0.10,-1.00,0.07
0.42,-0.10,-1.00,0.11
0.48,-0.10,-1.00,0.15
0.55,-0.10,-1.00,0.21
0.61,-0.10,-1.00,0.27
0.68,-0.10,-1.00,0.34
0.74,-0.10,-1.00,0.41
0.81,-0.10,-1.00,0.48
0.87,-0.10,-1.00,0.53
0.94,-0.10,-1.00,0.57
1.00,-0.10,-1.00,0.58
-1.00,-0.03,-1.00,0.47
-0.94,-0.03,-1.00,0.46
-0.87,-0.03,-1.00,0.43
-0.81,-0.03,-1.00,0.39
-0.74,-0.03,-1.00,0.33
-0.68,-0.03,-1.00,0.28
-0.61,-0.03,-1.00,0.22
-0.55,-0.03,-1.00,0.17
-0.48,-0.03,-1.00,0.12
-0.42,-0.03,-1.00,0.09
-0.35,-0.03,-1.00,0.06
-0.29,-0.03,-1.00,0.04
-0.23,-0.03,-1.00,0.03
-0.16,-0.03,-1.00,0.02
-0.10,-0.03,-1.00,0.01
-0.03,-0.03,-1.00,0.01
0.03,-0.03,-1.00,0.01
0.10,-0.03,-1.00,0.02
0.16,-0.03,-1.00,0.02
0.23,-0.03,-1.00,0.03
0.29,-0.03,-1.00,0.05
0.35,-0.03,-1.00,0.08
0.42,-0.03,-1.00,0.11
0.48,-0.03,-1.00,0.16
0.55,-0.03,-1.00,0.22
0.61,-0.03,-1.00,0.29
0.68,-0.03,-1.00,0.36
0.74,-0.03,-1.00,0.43
0.81,-0.03,-1.00,0.50
0.87,-0.03,-1.00,0.56
0.94,-0.03,-1.00,0.59
1.00,-0.03,-1.00,0.60
-1.00,0.03,-1.00,0.57
-0.94,0.03,-1.00,0.55
-0.87,0.03,-1.00,0.52
-0.81,0.03,-1.00,0.47
-0.74,0.03,-1.00,0.41
-0.68,0.03,-1.00,0.34
-0.61,0.03,-1.00,0.27
-0.55,0.03,-1.00,0.21
-0.48,0.03,-1.00,0.15
-0.42,0.03,-1.00,0.11
-0.35,0.03,-1.00,0.07
-0.29,0.03,-1.00,0.05
-0.23,0.03,-1.00,0.03
-0.16,0.03,-1.00,0.02
-0.10,0.03,-1.00,0.02
-0.03,0.03,-1.00,0.02
0.03,0.03,-1.00,0.02
0.10,0.03,-1.00,0.02
0.16,0.03,-1.00,0.03
0.23,0.03,-1.00,0.04
0.29,0.03,-1.00,0.05
0.35,0.03,-1.00,0.08
0.42,0.03,-1.00,0.11
0.48,0.03,-1.00,0.16
0.55,0.03,-1.00,0.22
0.61,0.03,-1.00,0.29
0.68,0.03,-1.00,0.36
0.74,0.03,-1.00,0.43
0.81,0.03,-1.00,0.50
0.87,0.03,-1.00,0.56
0.94,0.03,-1.00,0.59
1.00,0.03,-1.00,0.60
-1.00,0.10,-1.00,0.66
-0.94,0.10,-1.00,0.64
-0.87,0.10,-1.00,0.61
-0.81,0.10,-1.00,0.55
-0.74,0.10,-1.00,0.47
-0.68,0.10,-1.00,0.39
-0.61,0.10,-1.00,0.31
-0.55,0.10,-1.00,0.24
-0.48,0.10,-1.00,0.18
-0.42,0.10,-1.00,0.13
-0.35,0.10,-1.00,0.09
-0.29,0.10,-1.00,0.06
-0.23,0.10,-1.00,0.04
-0.16,0.10,-1.00,0.03
-0.10,0.10,-1.00,0.03
-0.03,0.10,-1.00,0.02
0.03,0.10,-1.00,0.02
0.10,0.10,-1.00,0.02
0.16,0.10,-1.00,0.03
0.23,0.10,-1.00,0.04
0.29,0.10,-1.00,0.06
0.35,0.10,-1.00,0.08
0.42,0.10,-1.00,0.11
0.48,0.10,-1.00,0.16
0.55,0.10,-1.00,0.21
0.61,0.10,-1.00,0.28
0.68,0.10,-1.00,0.35
0.74,0.10,-1.00,0.42
0.81,0.10,-1.00,0.48
0.87,0.10,-1.00,0.53
0.94,0.10,-1.00,0.57
1.00,0.10,-1.00,0.58
-1.00,0.16,-1.00,0.73
-0.94,0.16,-1.00,0.72
-0.87,0.16,-1.00,0.68
-0.81,0.16,-1.00,0.61
-0.74,0.16,-1.00,0.53
-0.68,0.16,-1.00,0.44
-0.61,0.16,-1.00,0.35
-0.55,0.16,-1.00,0.27
-0.48,0.16,-1.00,0.20
-0.42,0.16,-1.00,0.15
-0.35,0.16,-1.00,0.10
-0.29,0.16,-1.00,0.08
-0.23,0.16,-1.00,0.06
-0.16,0.16,-1.00,0.04
-0.10,0.16,-1.00,0.04
-0.03,0.16,-1.00,0.03
0.03,0.16,-1.00,0.03
0.10,0.16,-1.00,0.03
0.16,0.16,-1.00,0.04
0.23,0.16,-1.00,0.05
0.29,0.16,-1.00,0.06
0.35,0.16,-1.00,0.08
0.42,0.16,-1.00,0.11
0.48,0.16,-1.00,0.15
0.55,0.16,-1.00,0.20
0.61,0.16,-1.00,0.26
0.68,0.16,-1.00,0.32
0.74,0.16,-1.00,0.38
0.81,0.16,-1.00,0.44
0.87,0.16,-1.00,0.49
0.94,0.16,-1.00,0.52
1.00,0.16,-1.00,0.53
-1.00,0.23,-1.00,0.79
-0.94,0.23,-1.00,0.77
-0.87,0.23,-1.00,0.72
-0.81,0.23,-1.00,0.65
-0.74,0.23,-1.00,0.57
-0.68,0.23,-1.00,0.47
-0.61,0.23,-1.00,0.38
-0.55,0.23,-1.00,0.29
-0.48,0.23,-1.00,0.22
-0.42,0.23,-1.00,0.16
-0.35,0.23,-1.00,0.12
-0.29,0.23,-1.00,0.09
-0.23,0.23,-1.00,0.07
-0.16,0.23,-1.00,0.06
-0.10,0.23,-1.00,0.05
-0.03,0.23,-1.00,0.05
0.03,0.23,-1.00,0.05
0.10,0.23,-1.00,0.05
0.16,0.23,-1.00,0.05
0.23,0.23,-1.00,0.06
0.29,0.23,-1.00,0.06
0.35,0.23,-1.00,0.08
0.42,0.23,-1.00,0.10
0.48,0.23,-1.00,0.14
0.55,0.23,-1.00,0.18
0.61,0.23,-1.00,0.23
0.68,0.23,-1.00,0.28
0.74,0.23,-1.00,0.34
0.81,0.23,-1.00,0.39
0.87,0.23,-1.00,0.43
0.94,0.23,-1.00,0.46
1.00,0.23,-1.00,0.47
-1.00,0.29,-1.00,0.81
-0.94,0.29,-1.00,0.79
-0.87,0.29,-1.00,0.75
-0.81,0.29,-1.00,0.67
-0.74,0.29,-1.00,0.58
-0.68,0.29,-1.00,0.49
-0.61,0.29,-1.00,0.39
-0.55,0.29,-1.00,0.31
-0.48,0.29,-1.00,0.23
-0.42,0.29,-1.00,0.18
-0.35,0.29,-1.00,0.14
-0.29,0.29,-1.00,0.11
-0.23,0.29,-1.00,0.09
-0.16,0.29,-1.00,0.08
-0.10,0.29,-1.00,0.08
-0.03,0.29,-1.00,0.07
0.03,0.29,-1.00,0.07
0.10,0.29,-1.00,0.07
0.16,0.29,-1.00,0.07
0.23,0.29,-1.00,0.07
0.29,0.29,-1.00,0.08
0.35,0.29,-1.00,0.08
0.42,0.29,-1.00,0.10
0.48,0.29,-1.00,0.13
0.55,0.29,-1.00,0.16
0.61,0.29,-1.00,0.20
0.68,0.29,-1.00,0.24
0.74,0.29,-1.00,0.29
0.81,0.29,-1.00,0.33
0.87,0.29,-1.00,0.37
0.94,0.29,-1.00,0.39
1.00,0.29,-1.00,0.40
-1.00,0.35,-1.00,0.80
-0.94,0.35,-1.00,0.78
-0.87,0.35,-1.00,0.74
-0.81,0.35,-1.00,0.66
-0.74,0.35,-1.00,0.58
-0.68,0.35,-1.00,0.48
-0.61,0.35,-1.00,0.39
-0.55,0.35,-1.00,0.31
-0.48,0.35,-1.00,0.24
-0.42,0.35,-1.00,0.19
-0.35,0.35,-1.00,0.15
-0.29,0.35,-1.00,0.13
-0.23,0.35,-1.00,0.12
-0.16,0.35,-1.00,0.11
-0.10,0.35,-1.00,0.11
-0.03,0.35,-1.00,0.11
0.03,0.35,-1.00,0.11
0.10,0.35,-1.00,0.10
0.16,0.35,-1.00,0.10
0.23,0.35,-1.00,0.09
0.29,0.35,-1.00,0.09
0.35,0.35,-1.00,0.09
0.42,0.35,-1.00,0.10
0.48,0.35,-1.00,0.12
0.55,0.35,-1.00,0.14
0.61,0.35,-1.00,0.17
0.68,0.35,-1.00,0.20
0.74,0.35,-1.00,0.24
0.81,0.35,-1.00,0.27
0.87,0.35,-1.00,0.30
0.94,0.35,-1.00,0.32
1.00,0.35,-1.00,0.32
-1.00,0.42,-1.00,0.75
-0.94,0.42,-1.00,0.74
-0.87,0.42,-1.00,0.70
-0.81,0.42,-1.00,0.63
-0.74,0.42,-1.00,0.55
-0.68,0.42,-1.00,0.46
-0.61,0.42,-1.00,0.38
-0.55,0.42,-1.00,0.30
-0.48,0.42,-1.00,0.25
-0.42,0.42,-1.00,0.20
-0.35,0.42,-1.00,0.17
-0.29,0.42,-1.00,0.16
-0.23,0.42,-1.00,0.15
-0.16,0.42,-1.00,0.15
-0.10,0.42,-1.00,0.16
-0.03,0.42,-1.00,0.16
0.03,0.42,-1.00,0.16
0.10,0.42,-1.00,0.15
0.16,0.42,-1.00,0.14
0.23,0.42,-1.00,0.13
0.29,0.42,-1.00,0.12
0.35,0.42,-1.00,0.11
0.42,0.42,-1.00,0.11
0.48,0.42,-1.00,0.11
0.55,0.42,-1.00,0.12
0.61,0.42,-1.00,0.14
0.68,0.42,-1.00,0.16
0.74,0.42,-1.00,0.19
0.81,0.42,-1.00,0.21
0.87,0.42,-1.00,0.23
0.94,0.42,-1.00,0.25
1.00,0.42,-1.00,0.25
-1.00,0.48,-1.00,0.68
-0.94,0.48,-1.00,0.67
-0.87,0.48,-1.00,0.63
-0.81,0.48,-1.00,0.57
-0.74,0.48,-1.00,0.50
-0.68,0.48,-1.00,0.43
-0.61,0.48,-1.00,0.36
-0.55,0.48,-1.00,0.29
-0.48,0.48,-1.00,0.25
-0.42,0.48,-1.00,0.22
-0.35,0.48,-1.00,0.20
-0.29,0.48,-1.00,0.20
-0.23,0.48,-1.00,0.20
-0.16,0.48,-1.00,0.21
-0.10,0.48,-1.00,0.22
-0.03,0.48,-1.00,0.22
0.03,0.48,-1.00,0.22
0.10,0.48,-1.00,0.21
0.16,0.48,-1.00,0.19
0.23,0.48,-1.00,0.18
0.29,0.48,-1.00,0.16
0.35,0.48,-1.00,0.14
0.42,0.48,-1.00,0.12
0.48,0.48,-1.00,0.12
0.55,0.48,-1.00,0.12
0.61,0.48,-1.00,0.12
0.68,0.48,-1.00,0.13
0.74,0.48,-1.00,0.15
0.81,0.48,-1.00,0.16
0.87,0.48,-1.00,0.18
0.94,0.48,-1.00,0.19
1.00,0.48,-1.00,0.19
-1.00,0.55,-1.00,0.60
